,Text,Category
0,worldcom exboss launches defence lawyers defending former worldcom chief bernie ebbers battery fraud charges called company whistleblower first witness cynthia cooper worldcom exhead internal accounting alerted directors irregular accounting practices us telecoms giant 2002 warnings led collapse firm following discovery 11bn 57bn accounting fraud mr ebbers pleaded guilty charges fraud conspiracy prosecution lawyers argued mr ebbers orchestrated series accounting tricks worldcom ordering employees hide expenses inflate revenues meet wall street earnings estimates ms cooper runs consulting business told jury new york wednesday external auditors arthur andersen approved worldcom accounting early 2001 2002 said andersen given green light procedures practices used worldcom mr ebber lawyers said unaware fraud arguing auditors alert problems ms cooper also said shareholder meetings mr ebbers often passed technical questions company finance chief giving brief answers prosecution star witness former worldcom financial chief scott sullivan said mr ebbers ordered accounting adjustments firm telling hit books however ms cooper said mr sullivan mentioned anything uncomfortable worldcom accounting 2001 audit committee meeting mr ebbers could face jail sentence 85 years convicted charges facing worldcom emerged bankruptcy protection 2004 known mci last week mci agreed buyout verizon communications deal valued 675bn,0
1,german business confidence slides german business confidence fell february knocking hopes speedy recovery europe largest economy munichbased research institute ifo said confidence index fell 955 february 975 january first decline three months study found outlook manufacturing retail sectors worsened observers hoping confident business sector would signal economic activity picking surprised ifo index taken knock said dz bank economist bernd weidensteiner main reason probably domestic economy still weak particularly retail trade economy labour minister wolfgang clement called dip february ifo confidence figure mild decline said despite retreat index remained relatively high level expected modest economic upswing continue germany economy grew 16 last year shrinking 2003 however economy contracted 02 last three months 2004 mainly due reluctance consumers spend latest indications growth still proving elusive ifo president hanswerner sinn said improvement german domestic demand sluggish exports kept things going first half 2004 demand exports hit value euro hit record levels making german products less competitive overseas top unemployment rate stuck close 10 manufacturing firms including daimlerchrysler siemens volkswagen negotiating unions cost cutting measures analysts said ifo figures germany continuing problems may delay interest rate rise european central bank eurozone interest rates 2 comments senior officials recently focused threat inflation prompting fears interest rates may rise,0
2,bbc poll indicates economic gloom citizens majority nations surveyed bbc world service poll believe world economy worsening respondents also said national economy getting worse asked family financial outlook majority 14 countries said positive future almost 23 000 people 22 countries questioned poll mostly conducted asian tsunami disaster poll found majority plurality people 13 countries believed economy going downhill compared respondents nine countries believed improving surveyed three countries split percentage terms average 44 respondents country said world economy getting worse compared 34 said improving similarly 48 pessimistic national economy 41 optimistic 47 saw family economic conditions improving 36 said getting worse poll 22 953 people conducted international polling firm globescan together program international policy attitudes pipa university maryland world economy picked difficult times years ago people seem fully absorbed development though personally experiencing effects said pipa director steven kull people around world saying ok world may perception war terrorism religious political divisions making world worse place even though far reflected global economic performance says bbc elizabeth blunt countries people optimistic world families two fastgrowing developing economies china india followed indonesia china seen two decades blistering economic growth led wealth creation huge scale says bbc louisa lim beijing results also may reflect untrammelled confidence people subject endless government propaganda country rosy economic future correspondent says south korea pessimistic respondents italy mexico also quite gloomy bbc david willey rome says one reason result changeover lira euro 2001 widely viewed biggest reason wages salaries worth less used philippines among upbeat countries prospects respondents families one pessimistic world economy pipa conducted poll 15 november 2004 3 january 2005 across 22 countries facetoface telephone interviews interviews took place 15 november 2004 5 january 2005 margin error 25 4 points depending country eight countries sample limited major metropolitan areas,0
3,lifestyle governs mobile choice faster better funkier hardware alone going help phone firms sell handsets research suggests instead phone firms keen get customers pushing technology sake consumers far interested handsets fit lifestyle screen size onboard memory chip inside shows indepth study handset maker ericsson historically industry much focus using technology said dr michael bjorn senior advisor mobile media ericsson consumer enterprise lab stop saying technologies change lives said try speak consumers language help see fits told bbc news website study ericsson interviewed 14 000 mobile phone owners ways use phone people habits remain said dr bjorn move activity mobile phone much convenient way one good example diarywriting among younger people said diaries always popular mobile phone especially one equipped camera helps keep different form youngsters use text messages also reflects desire chat keep contact friends lets slightly changed way dr bjorn said although consumers always use phone sheer variety new handset technologies make possible gradually drive new habits lifestyles ericsson research shown consumers divide different tribes use phones different ways dr bjorn said groups dubbed pioneers materialists interested trying new things behind start many trends phone use instance said older people using sms much five years ago younger users often children ageing mobile owners encouraged older people try could keep touch another factor governing speed change mobile phone use simple speed new devices bought pioneers materialists 25 people handsets new innovations cameras consumers stop worrying send picture message person end able see significant number users passed use new innovations tends take dr bjorn said early reports camera phone usage japan seemed imply innovation going flop however said 45 japanese people ericsson questioned use camera phone least month 2003 figure 29 similarly across europe numbers people taking snaps cameras starting rise 2003 4 people uk took phonecam snap least month figure 14 similar rises seen many european nations dr bjorn said people also used camera phones different ways film even digital cameras usage patterns digital cameras almost exactly replacing usage patterns analogue cameras said digital cameras tend used significant events weddings holidays birthdays contrast said camera phones used much capture moment woven everyday life,4
4,enron bosses 168m payout eighteen former enron directors agreed 168m 89m settlement deal shareholder lawsuit collapse energy firm leading plaintiff university california announced news adding 10 former directors pay 13m pockets settlement put courts approval next week enron went bankrupt 2001 emerged hidden hundreds millions dollars debt collapse firm seventh biggest public us company revenue demise sent shockwaves financial markets dented investor confidence corporate america settlement significant holding outside directors least partially personally responsible william lerach lawyer leading class action suit enron said hopefully help send message corporate boardrooms importance directors performing legal duties added terms 168m settlement 155m covered insurance none 18 former directors admit wrongdoing deal fourth major settlement negotiated lawyers filed class action behalf enron shareholders almost three years ago far including latest deal 500m 3788m retrieved investors however latest deal include former enron chief executives ken lay jeff skilling men facing criminal charges alleged misconduct run firm collapse neither cover andrew fastow pleaded guilty taking part illegal conspiracy chief financial officer group enron shareholders still seeking damages long list big name defendants including financial institutions jp morgan chase citigroup merrill lynch credit suisse first boston university california said trial case scheduled begin october 2006 joined lawsuit december 2001alleging massive insider trading fraud claiming lost 145m investments company,0
5,howard truanted play snooker conservative leader michael howard admitted used play truant spend time school friends snooker hall mr howard said time jack snooker hall llanelli 1950s done lasting damage told times educational supplement truancy bad said firm action needed mr howard also called return olevels classroom discipline mr howard eventually left llanelli grammar school snooker hall go cambridge university said think done lasting damage made snooker world champion might occasions left early afternoon honest think truancy bad thing firm action taken deal another player failed win snooker world championship jimmy whirlwind white previously admitted missing lessons instead spending days smoky halls tony meo another player used spend spare time mr white said loved game atmosphere school went window went started taking time mr howard fellow welshman ray reardon known fellow professionals dracula snooker world championship six times left school 14 work miner terry griffiths like mr howard llanelli tournament 1979 known whether two ever clashed cues jack,2
6,wales silent grand slam talk rhys williams says wales still thinking winning grand slam despite third six nations win last thing minds moment said williams second half replacement saturday 2418 win france paris realise difficult task go scotland beat come unstuck couple times recently focus game worry ireland hopefully beaten scotland captain gareth thomas ruled rest campaign broken thumb williams vying first start championship far kevin morgan probably favourite replace thomas fullback leaving williams hal luscombe battle right wing berth hamstring injury denied luscombe opportunity make third successive start dragons winger expected fit trip murrayfield 13 march hooker robin mcbryde doubtful picking knee injury paris centre sonny parker flanker colin charvis set recover injury contention selection said wales assistant coach scott johnson worked weekend reports bit positive getting couple back adds depth squad scotland secured first win campaign saturday grinding 1810 win italy matt williams side shown little attack johnson insisted scots difficult opposition break italy really brave opposition sometimes hard win said ugly win effective 30 40 point victory scotland hard side underrated taking anything granted basking glory winning first three games got diligent preparation job got make sure focused,3
7,french honour director parker british film director sir alan parker made officer order arts letters one france highest cultural honours sir alan received decoration paris wednesday french culture minister renaud donnedieu de vabres explored possibilities film immense talent mr de vabres said presented award parker praised french films saying hollywood created modern cinema uses commodity told minister honoured thus distinguished france flag carrier cinema throughout world sir alan films include oscarwinning fame plus midnight express commitments founding member director guild great britain former chairman uk film council board british film institute work campaigns shown us artist occupies essential place contemporary society mr de vabres said dreams show us links weave question world mirror work also cited director 2003 film life david gale kevin spacey played man death row proof veritable artistic commitment death sentence,1
8,car giant hit mercedes slump slump profitability luxury car maker mercedes prompted big drop profits parent daimlerchrysler germanus carmaker saw fourth quarter operating profits fall 785m euros 1bn 24bn euros 2003 mercedesbenz woes profits slid 20m euros obscured strong performance chrysler group whose returns met market expectations mercedes faces fierce competition luxury car sector bmw hopes revive fortunes 2006 mercedes profits period compared unfavourably 2003 784m euro figure well analyst expectations 374m euros year whole operating profits fell 46 16bn euros sales mercedes brands fell 2 demand cooled revenues affected weakness us dollar carmaker blamed fall profits high launch costs new models losses mercedes smart minicar range mercedes hoping increase productivity 3bn euros negotiated 500m euros annual savings german workers last year firm said determined retain mercedes position world successful luxury brand however daimlerchrysler shares fell 15 news divisions well big worries continue surround mercedesbenz michael rabb analyst bank sal oppenheim told reuters contrast chrysler enjoyed 5 annual increase unit sales revenues calculated us dollars rose 10 us division whose marques include dodge jeep transformed full year operating loss 506m euros 2003 14bn euros profit last year overall daimlerchrysler saw worldwide vehicle sales rise 8 47 million 2004 total revenues added 4 142bn euros chrysler strong performance helped world fifth largest carmaker boost net income 400m euros 25bn euros year 2004 shows strategy works well even challenging competitive environment said jurgen schrempp daimlerchrysler chairman daimlerchrysler took 475m euro hit costs stemming defects scandal joint venture japanese subsidiary fuso daimlerchrysler last week agreed compensation package partner mitsubishi motors see buy stake fuso looking forward daimerchrysler profits expected slightly higher 2005 however expecting significant improvements profitability 2006 result major investment mercedes product range,0
9,fockers fuel festive film chart comedy meet fockers topped festive box office north america setting new record christmas day sequel took 447m 232m 24 26 december according studio estimates took 191m 99m christmas day alone highest takings day box office history meet fockers sequel ben stiller comedy meet parents also starring robert de niro blythe danner dustin hoffman barbra streisand despite success meet fockers takings 265 2003 figures blamed christmas falling weekend year christmas falls weekend bad business said paul dergarabedian president exhibitor relations compiles box office statistics weekend top 12 films took estimated 1219m 633m compared 1658m 861m last year third lord rings film dominated box office meet fockers knocked last week top film lemony snicket series unfortunate events third place 125m 65m comedy fat albert cowritten bill cosby entered chart second place opening christmas day taking 127m 66m aviator starring leonardo dicaprio howard hughes took 94m expanding 40 1 796 cinemas christmas day,1
10,blair rejects iraq advice calls tony blair rejected calls publication advice legality iraq war amid growing calls investigation prime minister told monthly press conference matter dealt attorney general earlier conservative mp michael mates joined calls probe claims lord goldsmith statement parliament drawn number 10 mr blair said statement fair summary lord goldsmith opinion lord goldsmith said say dealt time time time mr blair told monthly news conference downing street refused answer questions issue saying dealt literally scores times position changed lord goldsmith denied leaned says words written government refuses publish advice legality war saying papers always kept confidential mr mates member commons intelligence security committee part butler inquiry prewar intelligence told bbc friday general rule right absolute rule said occasions advice published recently regarding prince charles marriage plans government could pick choose use convention said mr mates added discovered two three occasions past law officers advice government published may one special occasions would public interest see advice attorney general gave prime minister argument rejected mr blair said firstly broken precedent secondly peter goldsmith made statement got absolutely nothing add book published week philippe sands qc member cherie blair matrix chambers says lord goldsmith warned tony blair 7 march 2003 iraq war could illegal without second un resolution sanctioning military action short statement lord goldsmith position presented written parliamentary answer 17 march 2003 crucial commons vote military action mr sands book suggests actually written home office minister lord falconer downing street adviser baroness morgan former minister clare short resigned government iraq war said statement earlier shown cabinet discussed military action told bbc full advice attached according ministerial code view need house lords set special committee summon attorney get papers look exactly happened said conservatives liberal democrats say want publication full legal advice given attorney general thursday lord goldsmith said statement written number 10 parliamentary answer march 17 2003 explained genuinely held independent view military action lawful existing security council resolutions said,2
11,housewives lift channel 4 ratings debut us television hit desperate housewives helped lift channel 4 january audience share 12 compared last year successes celebrity big brother simpsons enabled broadcaster surpass bbc2 first month since last july however channel share audience fell 112 96 last month comparison january 2004 celebrity big brother attracted less viewers 2002 series comedy drama desperate housewives managed pull five million viewers one point run date attracting quarter television audience two main television channels bbc1 itv1 seen monthly audience share decline year year comparison january five proportion remained slender 63 digital multichannel tv continuing strongest area growth bbc reporting freeview box ownership five million including one million sales last portion 2004 share audience soared 20 january 2005 compared last year currently stands average 286,1
